"job_id","days_since_posted","open_position","company_name","job_type","job_location","min_salary","max_salary","midpoint_salary","job_spec","job_function","job_industry","industry_name"
"1221","7","Accounting, Tax dan Tender Admin","Pengiklan Anonim","Full Time","Jakarta Selatan","","","","Akuntansi & Pelaporan Finansial","Akunting","Akuntansi",""
"1222","7","Senior Product Manager \u2013 Risk & Operations Platform","PT Fliptech Lentera Inspirasi Pertiwi","Full Time","Jakarta Raya","","","","Keamanan","Teknologi Informasi","Teknologi Informasi & Komunikasi","Teknologi"
"1223","7","Operation Manager","ARKCO GROUP INDONESIA","Kontrak/Temporer","Jakarta Raya","","","","Manajemen","Manajemen","Hospitaliti & Pariwisata","Hospitaliti"
"1224","7","SAP Logistics","Accenture TCM","Full Time","Jakarta Raya","","","","Pergudangan, Penyimpanan & Distribusi","Logistik","Manufaktur, Transportasi & Logistik","Logistik"
"1225","7","New Business Underwriter Manager (Medical)","Talent Search Recruitment Consultant","Full Time","Jakarta Raya","","","","Penjaminan Emisi","Asuransi","Asuransi & Dana Pensiun","Asuransi"
"1226","7","Brand & Product Manager","Talent Search Recruitment Consultant","Full Time","Jakarta Raya","","","","Manajemen & Pengembangan Produk","Manajemen","Pemasaran & Komunikasi",""
"1227","7","Marketing After Market","Talent Search Recruitment Consultant","Full Time","Jakarta Raya","","","","Manajemen & Pengembangan Produk","Manajemen","Pemasaran & Komunikasi",""
"1228","7","ERP Functional Consultant","Talent Search Recruitment Consultant","Full Time","Jarak jauh","","","","Analis Bisnis/Sistem","Analitik","Teknologi Informasi & Komunikasi","Teknologi"
"1229","7","[RC - 000234] - SALES FORCE (FARMER) - HEAD OFFICE","AGRO BOGA UTAMA GROUP","Full Time","Jakarta Raya","","","","Perwakilan/Konsultan Penjualan","Penjualan","Penjualan",""
"1230","7","Administrator Jr.","PT. Metrodata Electronics, Tbk","Full Time","Jakarta Raya","","","","Asisten Administratif","Administratif","Administrasi & Dukungan Perkantoran",""
"1231","7","Project Associate – Agri AI Solution in Vietnam and Thailand","Edufarmers International Foundation","Kontrak/Temporer","Jakarta Raya","","","","Pengembangan Masyarakat","Sumber Daya Manusia","Layanan & Pengembangan Masyarakat","Sosial"
"1232","7","Administrator Jr.","Mitra Integrasi Informatika","Full Time","Jakarta Raya","","","","Asisten Administratif","Administratif","Administrasi & Dukungan Perkantoran",""
"1233","7","IT QA Engineer","Steradian Data Optima","Full Time","Jakarta Raya","6500000.0","7000000.0","6750000.0","Uji Coba & Penjaminan Mutu","Teknologi Informasi","Teknologi Informasi & Komunikasi","Teknologi"
"1234","7","IOS Native Developer","Steradian Data Optima","Full Time","Jakarta Selatan","7000000.0","10000000.0","8500000.0","Developer/Programmer","Desain","Teknologi Informasi & Komunikasi","Teknologi"
"1235","7","ADMIN FINANCE","PT SKBio Nusa Medica","Full Time","Jakarta Raya","5500000.0","8250000.0","6875000.0","Akuntansi & Pelaporan Finansial","Akunting","Akuntansi",""
"1236","7","Android Native Developer","Steradian Data Optima","Full Time","Jakarta Raya","7000000.0","10000000.0","8500000.0","Developer/Programmer","Desain","Teknologi Informasi & Komunikasi","Teknologi"
"1237","7","Research and Development Supervisor","PT Natura Pesona Mandiri","Kontrak/Temporer","Jakarta Barat","","","","Teknologi & Keamanan Pangan","Teknik","Sains & Teknologi","Teknologi"
"1238","7","Microsoft Azure Integration & Container Specialist","Trigyn Technologies","Full Time","Jakarta Raya","","","","Teknik – Perangkat Lunak","Teknik","Teknologi Informasi & Komunikasi","Teknologi"
"1239","7","Data Enginner & Analyst","PT Samudera Caraka Jasa","Full Time","Jakarta Raya","","","","Matematika, Statistik & Teknik Informasi","Sains","Sains & Teknologi","Teknologi"
"1240","7","ETL Developer","PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH)","Kontrak/Temporer","Jakarta Raya","","","","Developer/Programmer","Desain","Teknologi Informasi & Komunikasi","Teknologi"
"1241","7","Internal Auditor Assistant Manager","PT. Godrej Consumer Products Indonesia","Full Time","Jakarta Timur","","","","Audit – Internal","Akunting","Akuntansi",""
"1242","7","Admin Finance Staff (Internship)","PT SAPTA WARNA CEMERLANG","Kontrak/Temporer","Jakarta Barat","","","","Asisten Administratif","Administratif","Administrasi & Dukungan Perkantoran",""
"1243","7","Accountant","PT IBMC Business Group","Full Time","Jakarta Raya","","","","Hutang Usaha","Akunting","Akuntansi",""
"1244","7","ADMIN WAREHOUSE","PT Nafeeza Radhya Bogatama","Full Time","Jakarta Timur","","","","Pergudangan, Penyimpanan & Distribusi","Logistik","Manufaktur, Transportasi & Logistik","Logistik"
"1245","7","Solution Design Manager Contract Logistics","Pengiklan Anonim","Full Time","Jakarta Selatan","","","","Pergudangan, Penyimpanan & Distribusi","Logistik","Manufaktur, Transportasi & Logistik","Logistik"
"1246","7","Account Executive","PT Servvo Fire Indonesia","Full Time","Jakarta Pusat","","","","Pengembangan Bisnis Baru","Penjualan","Penjualan",""
"1247","7","Accounting Staff","PT Mitsubishi Tanabe Pharma Indonesia","Full Time","Jakarta Raya","","","","Akuntansi & Pelaporan Finansial","Akunting","Akuntansi",""
"1248","7","Drafter MEP","PT Intinusa Teknik Sejahtera","Kontrak/Temporer","Jakarta Raya","","","","Drafting Teknik","Teknik","Teknik",""
"1249","7","Copilot Studio Engineer","PT Simplify Consulting Indonesia","Full Time","Jakarta Raya","","","","Teknik – Perangkat Lunak","Teknik","Teknologi Informasi & Komunikasi","Teknologi"
"1250","7","Commercial Coordinator","PT Berca Mandiri Perkasa - MEP Contractor","Full Time","Jakarta Raya","","","","Administrasi Kontrak","Administratif","Administrasi & Dukungan Perkantoran",""
"1251","7","Head of Supply Chain (Logistics & Transportation Focus)","Orang Tua Group","Full Time","Jakarta Barat","","","","Pergudangan, Penyimpanan & Distribusi","Logistik","Manufaktur, Transportasi & Logistik","Logistik"
"1252","7","Reconciliation And Settlement Officer","PT. Solusi Pasti Indonesia","Full Time","Jakarta Selatan","","","","","","",""
"1253","7","Data Center Specialist","Midea Electronics Indonesia","Full Time","Jakarta Raya","12000000.0","15000000.0","13500000.0","Pengembangan & Administrasi Database","Teknologi Informasi","Teknologi Informasi & Komunikasi","Teknologi"
"1254","7","Crewing Manager","Hiin Holdings Pte Ltd","Full Time","Jakarta Raya","","","","Transportasi Rel & Maritim","Logistik","Manufaktur, Transportasi & Logistik","Logistik"
"1255","7","Staff Admin Sales & Marketing","PT Mitindo Global Jaya","Full Time","Jakarta Raya","","","","Administrasi Klien & Penjualan","Administratif","Administrasi & Dukungan Perkantoran",""
"1256","7","Marketing Communication Admin Staff","PT. Tri Harmonis Niagantara","Full Time","Jakarta Utara","","","","Asisten Administratif","Administratif","Administrasi & Dukungan Perkantoran",""
"1257","7","Change Management (ITSM)","PT Sigma Cipta Utama","Full Time","Jakarta Raya","","","","Manajemen","Manajemen","Teknologi Informasi & Komunikasi","Teknologi"
"1258","7","Product Specialist","PT Solid Energi Internasional","Full Time","Jakarta Utara","","","","Teknik Elektro/Elektronik","Teknik","Teknik",""
"1259","7","Purchasing Staff","PT. Tri Harmonis Niagantara","Full Time","Jakarta Utara","","","","Pembelian, Pengadaan & Inventaris","Administratif","Manufaktur, Transportasi & Logistik","Logistik"
"1260","7","Supervisor Sipil","PT Pasifik Agro Sentosa","Full Time","Jakarta Selatan","","","","Mandor/Supervisor","Manajemen","Konstruksi","Konstruksi"
"1261","7","Staf Admin PPIC","PT. Tri Harmonis Niagantara","Full Time","Jakarta Utara","","","","Asisten Administratif","Administratif","Administrasi & Dukungan Perkantoran",""
"1262","7","Strategy & Business Development Manager (Mandarin Speaker)","PT. ALPEN FOOD INDUSTRY","Full Time","Jakarta Raya","","","","Pengembangan Korporat","Sumber Daya Manusia","Konsultasi & Strategi","Konsulting"
"1263","7","HR Officer","Pengiklan Anonim","Full Time","Jakarta Raya","6000000.0","8000000.0","7000000.0","Remunerasi & Tunjangan","Sumber Daya Manusia","Sumber Daya Manusia & Perekrutan",""
"1264","7","Account Executive","Aeon Delight Indonesia (PT. Sinar Jernih Sarana)","Full Time","Jakarta Pusat","","","","Manajemen Akun & Relasi","Manajemen","Penjualan",""
